gene,chromosome,strand,tss
CDC42-AS1,chr1,-,22052927
CDC42,chr1,+,22052626
CDC42-IT1,chr1,+,22059196
ENSG00000305135,chr1,+,22114451
WNT4,chr1,-,22143969
ENSG00000305152,chr1,+,22121815
ENSG00000285873,chr1,+,22142849
ENSG00000294752,chr1,+,22163371
MIR4418,chr1,+,22266238
ENSG00000294164,chr1,+,22285118
ENSG00000302675,chr1,+,22288075
ENSG00000279625,chr1,-,22366482
ENSG00000299881,chr1,-,22418987
ZBTB40,chr1,+,22428837
ENSG00000302246,chr1,-,22454613
ZBTB40-IT1,chr1,+,22517473
EPHA8,chr1,+,22563488
MIR6127,chr1,-,22633366
C1QA,chr1,+,22635076
ENSG00000289692,chr1,+,22636505
C1QC,chr1,+,22643013
ENSG00000308848,chr1,-,22663254
C1QB,chr1,+,22652761
EPHB2,chr1,+,22710838
MIR4684,chr1,+,22719516
ENSG00000225952,chr1,-,22836849
MIR4253,chr1,-,22863226
LACTBL1,chr1,-,22972866
ENSG00000297948,chr1,-,23003989
TEX46,chr1,-,23019100
KDM1A,chr1,+,23019442
ENSG00000240553,chr1,-,23088058
MIR3115,chr1,+,23044304
ENSG00000266802,chr1,-,23057934
LUZP1,chr1,-,23178152
ENSG00000293565,chr1,-,23094376
RNU6-514P,chr1,+,23162703
RNU6-135P,chr1,+,23163952
ENSG00000289014,chr1,-,23167889
HTR1D,chr1,-,23217502
ENSG00000304077,chr1,+,23201151
ENSG00000302918,chr1,+,23257432
LINC01355,chr1,-,23287488
ENSG00000284726,chr1,+,23297796
HNRNPR,chr1,-,23344336
ZNF436,chr1,-,23369836
ZNF436-AS1,chr1,+,23368484
ENSG00000271420,chr1,-,23379029
TCEA3,chr1,-,23424748
ENSG00000295946,chr1,+,23424865
ASAP3,chr1,-,23484637
E2F2,chr1,-,23531233
ENSG00000307540,chr1,+,23521923
ENSG00000307580,chr1,+,23539839
ENSG00000235052,chr1,-,23554388
ID3,chr1,-,23559501
ENSG00000307609,chr1,+,23562511
ENSG00000285802,chr1,-,23593621
MDS2,chr1,+,23581494
ENSG00000304075,chr1,+,23688781
RPL11,chr1,+,23691741
ELOA-AS1,chr1,-,23778340
ELOA,chr1,+,23743447
PITHD1,chr1,+,23778417
ENSG00000289835,chr1,-,23793751
LYPLA2,chr1,+,23791109
GALE,chr1,-,23800781
HMGCL,chr1,-,23838620
FUCA1,chr1,-,23868290
CNR2,chr1,-,23913362
ENSG00000232557,chr1,+,23907110
MIR378F,chr1,+,23929069
ENSG00000299163,chr1,-,23959052
PNRC2,chr1,+,23956838
SRSF10,chr1,-,23980927
ENSG00000225315,chr1,+,23980430
MYOM3,chr1,-,24112135
MYOM3-AS1,chr1,+,24066773
IL22RA1,chr1,-,24143140
IFNLR1,chr1,-,24187959
GRHL3,chr1,+,24199557
LINC02800,chr1,+,24200213
ENSG00000309961,chr1,-,24254853
GRHL3-AS1,chr1,-,24321903
STPG1,chr1,-,24416934
ENSG00000307212,chr1,-,24413669
NIPAL3,chr1,+,24415801
ENSG00000288982,chr1,+,24476353
NCMAP-DT,chr1,-,24556046
RCAN3,chr1,+,24502350
NCMAP,chr1,+,24556086
ENSG00000298126,chr1,-,24600543
SRRM1,chr1,+,24631715
ENSG00000307307,chr1,-,24722787
ENSG00000284699,chr1,+,24704893
ENSG00000307325,chr1,+,24720365
CLIC4,chr1,+,24745381
RNU6-1208P,chr1,-,24777979
ENSG00000293733,chr1,+,24857304
RUNX3,chr1,-,24965121
MIR6731,chr1,-,24919416
RUNX3-AS1,chr1,+,24961344
ENSG00000261025,chr1,-,24971606
MIR4425,chr1,+,25023502
LINC02793,chr1,+,25041135
ENSG00000233755,chr1,-,25113346
ENSG00000303094,chr1,-,25099719
ENSG00000306010,chr1,+,25101660
ENSG00000307250,chr1,-,25175117
ENSG00000231953,chr1,+,25208046
SYF2,chr1,-,25232502
ENSG00000284657,chr1,+,25232558
ENSG00000299599,chr1,-,25234775
RSRP1,chr1,-,25338213
ENSG00000272432,chr1,+,25247836
RHD,chr1,+,25272392
ENSG00000309241,chr1,-,25294339
TMEM50A,chr1,+,25338316
RHCE,chr1,-,25430192
MACO1,chr1,+,25430857
LDLRAP1,chr1,+,25543603
MAN1C1,chr1,+,25616790
ENSG00000233478,chr1,-,25659111
SELENON,chr1,+,25800192
ENSG00000255054,chr1,+,25811469
ENSG00000228172,chr1,-,25820797
MTFR1L,chr1,+,25818639
ENSG00000272478,chr1,-,25832134
AUNIP,chr1,-,25859458
ENSG00000236528,chr1,+,25859548
PAQR7,chr1,-,25875708
STMN1,chr1,-,25906991
ENSG00000294297,chr1,+,25905669
MIR3917,chr1,-,25906454
ENSG00000294284,chr1,-,25954734
PAFAH2,chr1,-,25998117
RNU6-110P,chr1,+,25964196
ENSG00000310101,chr1,-,26035856
ENSG00000252190,chr1,+,26006005
ENSG00000252691,chr1,+,26006215
EXTL1,chr1,+,26019883
ENSG00000310112,chr1,-,26036663
SLC30A2,chr1,-,26046118
ENSG00000301481,chr1,+,26044900
ENSG00000301509,chr1,-,26046694
ENSG00000284309,chr1,+,26046664
TRIM63,chr1,-,26068436
ENSG00000309383,chr1,+,26066274
PDIK1L,chr1,+,26111164
ENSG00000309933,chr1,-,26126472
FAM110D,chr1,+,26159078
C1orf232,chr1,-,26168963
ZNF593OS,chr1,-,26171832
ZNF593,chr1,+,26169907
CNKSR1,chr1,+,26177483
ENSG00000302380,chr1,-,26190525
CATSPER4,chr1,+,26190560
ZPLD2P,chr1,+,26216111
ENSG00000306815,chr1,-,26234422
CEP85,chr1,+,26234199
ENSG00000301028,chr1,-,26276858
SH3BGRL3,chr1,+,26280085
UBXN11,chr1,-,26318363
CD52,chr1,+,26317957
CRYBG2,chr1,-,26360080
ZNF683,chr1,-,26374522
LIN28A,chr1,+,26410816
DHDDS-AS1,chr1,-,26473892
DHDDS,chr1,+,26432281
HMGN2,chr1,+,26472439
ENSG00000294798,chr1,-,26500730
RPS6KA1,chr1,+,26529760
MIR1976,chr1,+,26554541
RN7SL679P,chr1,-,26593546
RNU7-29P,chr1,-,26602432
ENSG00000289452,chr1,-,26621568
ENSG00000299831,chr1,+,26620617
ENSG00000299868,chr1,+,26621011
ENSG00000238316,chr1,-,26642389
ENSG00000299849,chr1,+,26648301
ENSG00000260063,chr1,-,26695943
ENSG00000290006,chr1,+,26692585
ARID1A,chr1,+,26693235
ENSG00000303544,chr1,-,26787929
PIGV,chr1,+,26787053
RN7SL165P,chr1,+,26814821
ZDHHC18,chr1,+,26826687
ENSG00000304862,chr1,-,26865135
SFN,chr1,+,26863148
ENSG00000309929,chr1,+,26865377
GPN2,chr1,-,26890283
ENSG00000226698,chr1,+,26876132
ENSG00000289554,chr1,-,26882235
GPATCH3,chr1,-,26900467
NUDC,chr1,+,26900237
NR0B2,chr1,-,26913975
KDF1,chr1,-,26960468
ENSG00000297103,chr1,+,26960492
TRNP1,chr1,+,26993691
TENT5B,chr1,-,27012850
ENSG00000299378,chr1,+,27031769
ENSG00000299392,chr1,-,27045006
SLC9A1,chr1,-,27166981
ENSG00000298936,chr1,+,27157544
WDTC1-DT,chr1,-,27234514
WDTC1,chr1,+,27234631
TMEM222,chr1,+,27322144
RNU6-48P,chr1,+,27325218
ENSG00000304055,chr1,-,27351197
SYTL1,chr1,+,27342019
MAP3K6,chr1,-,27366961
FCN3,chr1,-,27374824
CD164L2,chr1,-,27383333
ENSG00000306354,chr1,-,27392468
ENSG00000306368,chr1,+,27391779
GPR3,chr1,+,27392621
WASF2,chr1,-,27490167
ENSG00000241169,chr1,+,27457197
ENSG00000301155,chr1,+,27504235
ENSG00000237429,chr1,+,27522445
ENSG00000300499,chr1,-,27529371
AHDC1,chr1,-,27604431
ENSG00000300470,chr1,+,27542480
FGR,chr1,-,27635185
ENSG00000301194,chr1,-,27645007
ENSG00000310432,chr1,+,27645072
LINC02574,chr1,-,27666279
IFI6,chr1,-,27672212
ENSG00000294734,chr1,+,27666072
ENSG00000225886,chr1,+,27669467
RNU6-949P,chr1,-,27675709
RNU6-424P,chr1,+,27693730
ENSG00000287244,chr1,-,27725763
FAM76A,chr1,+,27725960
STX12,chr1,+,27773218
ENSG00000269971,chr1,+,27773857
ENSG00000270031,chr1,+,27819982
RNU6-1245P,chr1,+,27824537
ENSG00000286433,chr1,-,27831209
PPP1R8,chr1,+,27830781
SCARNA1,chr1,+,27834400
ENSG00000309988,chr1,-,27863362
THEMIS2,chr1,+,27872542
RPA2,chr1,-,27914746
SMPDL3B,chr1,+,27934999
ENSG00000227050,chr1,-,27960193
XKR8,chr1,+,27959587
EYA3,chr1,-,28088637
RN7SL559P,chr1,-,28032180
ENSG00000301359,chr1,+,28038013
ENSG00000289576,chr1,-,28126939
RNU6-176P,chr1,-,28142841
PTAFR,chr1,-,28193936
ENSG00000298310,chr1,-,28174710
DNAJC8,chr1,-,28233029
ENSG00000290123,chr1,-,28237011
ATP5IF1,chr1,+,28236108
ENSG00000270605,chr1,-,28247210
ENSG00000271398,chr1,+,28247143
SESN2,chr1,+,28259517
MED18,chr1,+,28329001
PHACTR4,chr1,+,28369581
RNU6ATAC27P,chr1,+,28481361
ENSG00000308327,chr1,-,28505950
RCC1,chr1,+,28505942
SNHG3,chr1,+,28505979
SNORA73A,chr1,+,28507365
SNORA73B,chr1,+,28508558
ENSG00000279443,chr1,+,28544459
TRNAU1AP,chr1,+,28553084
SNHG12,chr1,-,28583132
SNORD99,chr1,-,28578822
SNORA61,chr1,-,28579893
SNORA44,chr1,-,28580512
SNORA16A,chr1,-,28581056
TAF12,chr1,-,28648291
RAB42,chr1,+,28592199
TAF12-DT,chr1,+,28643158
ENSG00000270103,chr1,+,28648599
RNU11,chr1,+,28648599
GMEB1,chr1,+,28668777
ENSG00000252777,chr1,+,28689664
ENSG00000289291,chr1,-,28737670
YTHDF2,chr1,+,28736620
ENSG00000305996,chr1,+,28796356
OPRD1,chr1,+,28812169
ENSG00000233427,chr1,-,28877336
EPB41,chr1,+,28887090
ENSG00000300997,chr1,-,28942716
Metazoa_SRP,chr1,+,29041198
TMEM200B,chr1,-,29123903
ENSG00000305828,chr1,+,29133813
ENSG00000225750,chr1,-,29146994
SRSF4,chr1,-,29181900
ENSG00000277916,chr1,-,29171453
MECR,chr1,-,29230942
ENSG00000237934,chr1,+,29223932
PTPRU,chr1,+,29236515
LINC01756,chr1,-,29350114
ENSG00000300547,chr1,+,29442928
ENSG00000300593,chr1,+,29449462
ENSG00000300570,chr1,-,29541085
ENSG00000228176,chr1,-,29709547
ENSG00000310425,chr1,+,29711122
ENSG00000284676,chr1,+,29755174
ENSG00000299394,chr1,-,29879171
ENSG00000300797,chr1,+,29991433
LINC01648,chr1,-,30037612
ENSG00000304118,chr1,+,30061918
ENSG00000302306,chr1,+,30099866
ENSG00000302331,chr1,-,30110098
ENSG00000302319,chr1,-,30130678
ENSG00000233372,chr1,+,30140262
ENSG00000306242,chr1,+,30230228
ENSG00000306012,chr1,-,30315657
ENSG00000236335,chr1,-,30411638
ENSG00000308745,chr1,+,30412669
ENSG00000231949,chr1,+,30415824
ENSG00000289710,chr1,-,30576825
ENSG00000301774,chr1,-,30710205
MATN1,chr1,-,30723585
MATN1-AS1,chr1,+,30718503
ENSG00000287510,chr1,+,30731692
LAPTM5,chr1,-,30757774
MIR4420,chr1,-,30739232
ENSG00000309098,chr1,-,30752339
ENSG00000306105,chr1,-,30782446
ENSG00000229607,chr1,-,30825781
LINC01778,chr1,+,30823999
ENSG00000298070,chr1,-,30860774
RN7SKP91,chr1,+,30843822
ENSG00000235143,chr1,+,30858157
SDC3,chr1,-,30908758
RN7SL371P,chr1,-,30918735
ENSG00000307336,chr1,+,30929208
PUM1,chr1,-,31065991
ENSG00000302667,chr1,+,31134507
ENSG00000308292,chr1,+,31154474
NKAIN1,chr1,-,31239887
SNRNP40,chr1,-,31296788
ZCCHC17,chr1,+,31296981
ENSG00000229044,chr1,-,31346924
FABP3,chr1,-,31376850
SERINC2,chr1,+,31409564
ENSG00000305880,chr1,-,31471568
ENSG00000305901,chr1,+,31471112
RNU6-40P,chr1,-,31497683
LDC1P,chr1,+,31500084
LINC01226,chr1,+,31506208
ENSG00000229167,chr1,-,31579510
TINAGL1,chr1,+,31576484
ENSG00000305292,chr1,-,31618203
HCRTR1,chr1,+,31617685
PEF1,chr1,-,31644896
PEF1-AS1,chr1,+,31642598
COL16A1,chr1,-,31704319
ENSG00000306756,chr1,+,31669979
ENSG00000295060,chr1,+,31689832
ADGRB2,chr1,-,31764893
MIR4254,chr1,-,31758735
ENSG00000306226,chr1,+,31761143
ENSG00000301119,chr1,-,31787752
ENSG00000254545,chr1,+,31789129
SPOCD1,chr1,-,31816022
ENSG00000203620,chr1,-,31881778
ENSG00000269967,chr1,-,31921841
PTP4A2,chr1,-,31944856
ENSG00000288678,chr1,-,31938010
ENSG00000228634,chr1,+,31933019
ENSG00000300504,chr1,-,31958077
ENSG00000284702,chr1,-,31987034
KHDRBS1,chr1,+,32013867
ENSG00000203325,chr1,-,32073474
TMEM39B,chr1,+,32072030
MIR5585,chr1,+,32086948
Metazoa_SRP,chr1,-,193237107
KPNA6,chr1,+,32108055
ENSG00000250135,chr1,+,32170732
ENSG00000297522,chr1,-,32179912
TXLNA,chr1,+,32179674
CCDC28B,chr1,+,32200594
ENSG00000224066,chr1,-,32206814
IQCC,chr1,+,32205670
DCDC2B,chr1,+,32209088
TMEM234,chr1,-,32222359
EIF3I,chr1,+,32221076
MTMR9LP,chr1,-,32241824
ENSG00000290045,chr1,+,32240370
FAM167B,chr1,+,32247221
LCK,chr1,+,32251243
HDAC1,chr1,+,32292082
MARCKSL1,chr1,-,32336233
ENSG00000305107,chr1,+,32335352
ENSG00000305127,chr1,-,32351690
ENSG00000233775,chr1,-,32351400
TSSK3,chr1,+,32351520
FAM229A,chr1,-,32364278
BSDC1,chr1,-,32394731
ENSG00000304771,chr1,+,32426635
RN7SL122P,chr1,+,32457834
ENSG00000254553,chr1,+,32465056
ZBTB8B,chr1,+,32465071
ZBTB8A,chr1,+,32539426
ZBTB8OS,chr1,-,32650903
ENSG00000294305,chr1,-,32612247
RBBP4,chr1,+,32651141
SYNC,chr1,-,32703596
ENSG00000224409,chr1,-,32725320
NHSL3,chr1,+,32741829
ENSG00000304155,chr1,-,32753863
YARS1,chr1,-,32818031
S100PBP,chr1,+,32816766
FNDC5,chr1,-,32872482
HPCA,chr1,+,32885993
TMEM54,chr1,-,32901438
ENSG00000287691,chr1,+,32925453
RNF19B,chr1,-,32964809
ENSG00000278966,chr1,+,32973552
ENSG00000300688,chr1,-,32998630
ENSG00000236065,chr1,+,32987038
AK2,chr1,-,33080996
AZIN2,chr1,+,33081103
ENSG00000305756,chr1,+,33127475
ENSG00000278997,chr1,-,33143230
TRIM62,chr1,-,33182059
ENSG00000279179,chr1,+,33162850
ENSG00000284721,chr1,+,33194787
ENSG00000303059,chr1,+,33238574
ENSG00000305863,chr1,+,33255599
ZNF362,chr1,+,33256491
ENSG00000270115,chr1,+,33261211
A3GALT2,chr1,-,33321098
ENSG00000225313,chr1,+,33307347
PHC2,chr1,-,33431095
MIR3605,chr1,-,33332492
RN7SKP16,chr1,-,33336864
PHC2-AS1,chr1,+,33350021
ENSG00000301698,chr1,+,33443289
ENSG00000304221,chr1,-,33471913
ZSCAN20,chr1,+,33472644
CSMD2,chr1,-,34165842
ENSG00000297811,chr1,+,33668138
HMGB4,chr1,+,33860474
CSMD2-AS1,chr1,+,33868952
ENSG00000308396,chr1,-,33974235
ENSG00000295180,chr1,+,33985368
C1orf94,chr1,+,34166882
ENSG00000302624,chr1,+,34266383
ENSG00000297436,chr1,-,34331028
ENSG00000309519,chr1,+,34364837
ENSG00000307130,chr1,-,34559249
ENSG00000287703,chr1,-,34685732
MIR552,chr1,-,34669694
SMIM12,chr1,-,34859755
GJB5,chr1,+,34755046
GJB4,chr1,+,34759739
ENSG00000255811,chr1,-,34788097
GJB3,chr1,+,34781213
GJA4,chr1,+,34792998
ENSG00000230163,chr1,+,34850693
DLGAP3,chr1,-,34929650
ENSG00000284773,chr1,-,34985313
GPR199P,chr1,-,34978706
TMEM35B,chr1,-,34985347
ENSG00000271741,chr1,-,35031741
ZMYM6,chr1,-,35031945
ZMYM1,chr1,+,35032171
ENSG00000284640,chr1,-,35146435
SFPQ,chr1,-,35193446
ENSG00000306436,chr1,-,35269761
ZMYM4,chr1,+,35268708
RN7SL503P,chr1,-,35292498
SNORA62,chr1,+,35310273
ZMYM4-AS1,chr1,-,35366077
KIAA0319L,chr1,-,35557950
NCDN,chr1,+,35557472
TFAP2E-AS1,chr1,-,35577808
TFAP2E,chr1,+,35573313
PSMB2,chr1,-,35641526
ENSG00000306977,chr1,+,35665299
C1orf216,chr1,-,35718894
CLSPN,chr1,-,35769978
ENSG00000232335,chr1,+,35739388
ENSG00000302368,chr1,+,35770086
AGO4,chr1,+,35808015
AGO1,chr1,+,35869807
ENSG00000286899,chr1,-,35910872
ENSG00000271914,chr1,-,35930115
AGO3,chr1,+,35930717
ENSG00000271554,chr1,-,36013630
ENSG00000293245,chr1,-,36084042
TEKT2,chr1,+,36084093
ADPRS,chr1,+,36088891
COL8A2,chr1,-,36125222
TRAPPC3,chr1,-,36156053
MAP7D1,chr1,+,36155578
RN7SL131P,chr1,+,36191914
ENSG00000301551,chr1,+,36204492
THRAP3,chr1,+,36224431
SH3D21,chr1,+,36306367
EVA1B,chr1,-,36324154
ENSG00000286379,chr1,+,36329629
STK40,chr1,-,36385924
ENSG00000300693,chr1,+,36385959
ENSG00000300712,chr1,-,36386603
LSM10,chr1,-,36397908
ENSG00000297367,chr1,+,36401262
RNU4-27P,chr1,-,36402859
OSCP1,chr1,-,36450451
SNORA63C,chr1,-,36418578
MRPS15,chr1,-,36464384
CSF3R,chr1,-,36483278
ENSG00000297386,chr1,-,36572637
ENSG00000294271,chr1,+,36625812
ENSG00000304879,chr1,-,36694959
ENSG00000295088,chr1,-,36704311
ENSG00000284705,chr1,+,36703927
ENSG00000234481,chr1,+,36728317
ENSG00000284720,chr1,-,36770260
GRIK3,chr1,-,37034515
ENSG00000223944,chr1,-,37325177
ENSG00000284650,chr1,+,37133396
MIR4255,chr1,+,37161562
RNU6-636P,chr1,+,37203609
LITATS1,chr1,-,37474432
ZC3H12A,chr1,+,37474579
MIR6732,chr1,+,37480229
MEAF6,chr1,-,37514766
MIR5581,chr1,-,37500994
ENSG00000307694,chr1,+,37519041
SNIP1,chr1,-,37554293
DNALI1,chr1,+,37556918
GNL2,chr1,-,37595937
ENSG00000284748,chr1,+,37596110
RSPO1,chr1,-,37634892
AIRIM,chr1,-,37692249
CDCA8,chr1,+,37692480
EPHA10,chr1,-,37765133
ENSG00000300156,chr1,+,37765298
ENSG00000300137,chr1,-,37767277
ENSG00000297428,chr1,-,37794042
MANEAL,chr1,+,37793846
ENSG00000233728,chr1,-,37800879
YRDC,chr1,-,37808208
C1orf122,chr1,+,37806978
MTF1,chr1,-,37859592
INPP5B-AS1,chr1,+,37860696
INPP5B,chr1,-,37947053
SNORA63,chr1,+,37884236
RNU6-584P,chr1,+,37885022
ENSG00000299926,chr1,+,37908040
ENSG00000303267,chr1,-,37955254
SF3A3,chr1,-,37990075
RNU6-510P,chr1,+,37991461
FHL3,chr1,-,38005606
UTP11,chr1,+,38009257
MIR3659HG,chr1,+,38031124
ENSG00000303194,chr1,-,38034988
POU3F1,chr1,-,38046793
ENSG00000303176,chr1,-,38093817
MIR3659,chr1,+,38089230
LINC02786,chr1,-,38141598
ENSG00000286552,chr1,+,38141642
ENSG00000287987,chr1,+,38193618
LINC01343,chr1,-,38214806
ENSG00000293709,chr1,+,38213014
ENSG00000301425,chr1,-,38433054
ENSG00000301495,chr1,+,38331525
RNU6-753P,chr1,+,38396658
ENSG00000301471,chr1,+,38425419
ENSG00000301451,chr1,-,38475172
LINC01685,chr1,+,38474824
ENSG00000306827,chr1,-,38503485
ENSG00000299856,chr1,+,38518336
ENSG00000309399,chr1,+,38553496
ENSG00000309413,chr1,-,38558513
ENSG00000308042,chr1,+,38558839
ENSG00000295881,chr1,-,38614390
ENSG00000307557,chr1,-,38728587
ENSG00000284632,chr1,-,38816147
RRAGC,chr1,-,38859772
ENSG00000273637,chr1,-,38874494
RRAGC-DT,chr1,+,38859885
MYCBP,chr1,-,38873368
ENSG00000274944,chr1,-,38881617
GJA9,chr1,-,38881587
RHBDL2,chr1,-,38941830
RNU6-605P,chr1,+,38926869
AKIRIN1,chr1,+,38991275
ENSG00000308667,chr1,+,39016904
NDUFS5,chr1,+,39026317
MACF1,chr1,+,39081315
RNU6-608P,chr1,-,39121043
ENSG00000287422,chr1,-,39238620
ENSG00000226438,chr1,-,39257649
BMP8A,chr1,+,39491635
ENSG00000307396,chr1,-,39514826
PPIEL,chr1,-,39559698
ENSG00000295266,chr1,+,39540634
PABPC4,chr1,-,39576790
PABPC4-AS1,chr1,+,39565033
SNORA55,chr1,-,39567508
ENSG00000294134,chr1,+,39575866
HEYL,chr1,-,39639643
ENSG00000225903,chr1,+,39633415
NT5C1A,chr1,-,39672107
ENSG00000293757,chr1,+,39672175
HPCAL4,chr1,-,39691485
PPIE,chr1,+,39692181
RNU7-121P,chr1,-,39723627
BMP8B,chr1,-,39788865
OXCT2,chr1,-,39771348
BMP8B-AS1,chr1,+,39779968
ENSG00000261798,chr1,+,39788975
ENSG00000284719,chr1,+,39799369
LINC02811,chr1,-,39817464
ENSG00000301696,chr1,+,39825120
TRIT1,chr1,-,39883511
MYCL-AS1,chr1,+,39882859
MYCL,chr1,-,39902256
ENSG00000300270,chr1,-,39941557
MFSD2A,chr1,+,39955111
ENSG00000307734,chr1,-,40040483
CAP1,chr1,+,40040232
PPT1,chr1,-,40097260
ENSG00000299088,chr1,+,40131875
ENSG00000303499,chr1,-,40161257
RLF,chr1,+,40161386
RNU6-1237P,chr1,+,40177842
TMCO2,chr1,+,40245946
ZMPSTE24-DT,chr1,-,40257994
ZMPSTE24,chr1,+,40258040
COL9A2,chr1,-,40317813
ENSG00000300794,chr1,+,40315075
SMAP2,chr1,+,40344849
ENSG00000296912,chr1,+,40388737
ENSG00000290111,chr1,-,40394964
ENSG00000284677,chr1,-,40450039
ZFP69B,chr1,+,40450101
ENSG00000260920,chr1,+,40464318
ENSG00000279667,chr1,+,40473054
ZFP69,chr1,+,40477289
EXO5-DT,chr1,-,40508720
EXO5,chr1,+,40508740
ENSG00000227278,chr1,-,40531962
ENSG00000238186,chr1,-,40517174
ZNF684,chr1,+,40531572
ENSG00000308470,chr1,-,40557845
ENSG00000286838,chr1,-,40584335
RIMS3,chr1,-,40665682
ENSG00000287743,chr1,+,40659776
NFYC-AS1,chr1,-,40692086
NFYC,chr1,+,40691647
MIR30E,chr1,+,40754354
MIR30C1,chr1,+,40757283
KCNQ4,chr1,+,40783786
RN7SL326P,chr1,+,40804845
ENSG00000295513,chr1,+,40845347
ENSG00000295492,chr1,-,40860864
CITED4,chr1,-,40862363
ENSG00000229528,chr1,+,40863913
ENSG00000308047,chr1,+,40884125
ENSG00000308065,chr1,-,40899633
ENSG00000301041,chr1,-,40979894
ENSG00000286668,chr1,+,40939293
CTPS1,chr1,+,40979299
SLFNL1-AS1,chr1,+,41014589
SLFNL1,chr1,-,41023237
SCMH1,chr1,-,41242306
SCMH1-DT,chr1,+,41241771
ENSG00000310187,chr1,-,41285805
ENSG00000291157,chr1,-,41306148
FOXO6,chr1,+,41361921
FOXO6-AS1,chr1,-,41375669
ENSG00000309993,chr1,-,41399641
ENSG00000299990,chr1,+,41432984
EDN2,chr1,-,41484683
ENSG00000295052,chr1,+,41486514
HIVEP3,chr1,-,42035925
ENSG00000230881,chr1,+,41535442
ENSG00000284895,chr1,-,41628816
ENSG00000287587,chr1,+,42036142
ENSG00000307448,chr1,-,42148180
GUCA2B,chr1,+,42153409
GUCA2A,chr1,-,42164745
FOXJ3,chr1,-,42335877
ENSG00000294990,chr1,+,42311477
ENSG00000227527,chr1,-,42338376
RIMKLA,chr1,+,42380791
ZMYND12,chr1,-,42456253
PPCS,chr1,+,42456116
CCDC30,chr1,+,42463220
RNU6-536P,chr1,+,42569032
ENSG00000285728,chr1,-,42682613
PPIH,chr1,+,42658334
ENSG00000234917,chr1,+,42678734
YBX1,chr1,+,42682417
CLDN19,chr1,-,42740254
P3H1,chr1,-,42767084
C1orf50,chr1,+,42767244
ENSG00000283580,chr1,+,42767291
TMEM269-DT,chr1,-,42784895
TMEM269,chr1,+,42784990
SVBP,chr1,-,42817397
ERMAP,chr1,+,42817121
ZNF691-DT,chr1,-,42891484
ZNF691,chr1,+,42846572
ENSG00000303995,chr1,-,42924858
ENSG00000288955,chr1,+,42924420
SLC2A1,chr1,-,42958893
SLC2A1-DT,chr1,+,42959027
ENSG00000283973,chr1,-,42962203
ENSG00000298429,chr1,-,42980544
RNU6-880P,chr1,+,42991437
ENSG00000310359,chr1,-,43068317
ENSG00000300973,chr1,+,43120017
CFAP144,chr1,+,43145152
EBNA1BP2,chr1,-,43270936
MIR6733,chr1,-,43171712
CFAP57,chr1,+,43172329
ENSG00000303581,chr1,-,43270820
TMEM125,chr1,+,43269982
C1orf210,chr1,-,43285617
TIE1,chr1,+,43300981
MPL,chr1,+,43337817
ENSG00000287113,chr1,-,43348844
CDC20-DT,chr1,-,43358861
CDC20,chr1,+,43358980
ELOVL1,chr1,-,43368074
MIR6734,chr1,-,43364715
MED8-AS1,chr1,+,43367477
MED8,chr1,-,43389808
SZT2,chr1,+,43389881
ENSG00000307543,chr1,-,43420021
SZT2-AS1,chr1,-,43448644
MIR6735,chr1,+,43448538
HYI,chr1,-,43453989
HYI-AS1,chr1,+,43453926
PTPRF,chr1,+,43525186
KDM4A,chr1,+,43650148
ENSG00000284989,chr1,+,43650148
KDM4A-AS1,chr1,-,43708138
ST3GAL3,chr1,+,43705823
ST3GAL3-AS1,chr1,-,43727343
U6,chr1,+,43716466
MIR6079,chr1,+,43838621
ENSG00000306755,chr1,-,43902688
ARTN,chr1,+,43933319
LINC02918,chr1,-,43946659
IPO13,chr1,+,43946949
ENSG00000285649,chr1,-,43974832
DPH2,chr1,+,43969999
ATP6V0B,chr1,+,43974486
B4GALT2,chr1,+,43978942
CCDC24,chr1,+,43991358
SLC6A9,chr1,-,44031467
ENSG00000230615,chr1,+,44030413
ENSG00000308853,chr1,-,44035937
ENSG00000308838,chr1,-,44043820
RN7SL479P,chr1,-,44117397
ENSG00000306803,chr1,-,44118775
KLF17,chr1,+,44118820
KLF18,chr1,-,44141631
ENSG00000302536,chr1,-,44220606
DMAP1,chr1,+,44213454
ERI3,chr1,-,44355260
ERI3-IT1,chr1,-,44244273
RNU6-369P,chr1,+,44390721
RNF220,chr1,+,44405193
ENSG00000308471,chr1,-,44547521
MIR5584,chr1,+,44545492
TMEM53,chr1,-,44674481
ARMH1,chr1,+,44674691
ENSG00000302489,chr1,-,44732228
RNU5F-1,chr1,-,44721902
RNU5D-1,chr1,-,44731170
KIF2C,chr1,+,44739817
ENSG00000225721,chr1,-,44775810
ENSG00000299627,chr1,-,44776082
RPS8,chr1,+,44775250
SNORD55,chr1,+,44775863
SNORD46,chr1,+,44776489
SNORD38A,chr1,+,44777842
SNORD38B,chr1,+,44778389
BEST4,chr1,-,44788170
PLK3,chr1,+,44800376
DYNLT4,chr1,-,44807351
ENSG00000290041,chr1,+,44807479
BTBD19,chr1,+,44808522
PTCH2,chr1,-,44843253
RNU5E-6P,chr1,-,44819997
EIF2B3,chr1,-,44986722
ENSG00000300507,chr1,+,44986679
HECTD3,chr1,-,45011324
UROD,chr1,+,45010949
ZSWIM5,chr1,-,45306209
ENSG00000303550,chr1,+,45036029
LINC01144,chr1,+,45303909
